Date,Number of stocks up 4 plus today,Number of stocks down 4 plus today,5 day ratio,10 day ratio,Number of stocks up 25 plus in a quarter,Number of stocks down 25 in a quarter,Number of stocks up 25 in a month,Number of stocks down 25 in a month,Number of stocks up 50 in a month,Number of stocks down 50 in a month,Number of stocks up 13 in 34 days,Number of stocks down 13 in 34 days,Worden Common stock universe,T2108,S&P
2/9/2024,321,88,1.49,1.24,1458,572,109,62,30,19,1233,1151,6223,45.05,5026.61
2/8/2024,351,114,1.14,1.18,1371,640,84,72,30,19,1086,1266,6219,42.33,4997.91
2/7/2024,152,205,1.03,1.10,1307,679,71,100,25,25,942,1370,6217,39.45,4995.06
2/6/2024,326,119,0.80,1.11,1363,644,75,105,27,24,933,1284,6217,40.31,4954.23
2/5/2024,113,322,0.58,1.05,1441,696,104,103,32,23,862,1377,6218,37.36,4942.81
2/2/2024,117,169,1.03,1.38,1614,646,105,100,31,18,969,1243,6217,44.33,4958.61
2/1/2024,270,138,1.23,1.44,1721,625,105,87,30,22,1046,1135,6215,48.88,4906.19
1/31/2024,119,429,1.18,1.30,1695,655,73,108,25,23,1031,1228,6213,42.78,4845.65
1/30/2024,120,225,1.64,1.47,1916,588,83,99,26,19,1274,1019,6215,55.13,4924.97
1/29/2024,444,75,2.14,1.29,2006,544,75,100,26,24,1450,915,6216,59.13,4927.93
1/26/2024,213,84,1.98,1.07,1923,603,65,120,26,27,1275,1034,6218,55.05,4890.97
1/25/2024,195,111,1.76,0.90,1903,603,73,102,29,25,1294,1038,6219,54.77,4894.97
1/24/2024,156,193,1.46,0.85,1845,616,73,89,28,28,1255,1135,6213,48.95,4868.55
1/23/2024,191,96,1.33,0.87,1888,616,79,77,36,24,1322,1084,6214,53.35,4864.60
1/22/2024,422,110,0.86,0.98,1914,628,91,69,35,22,1369,1094,6213,55.07,4850.43
1/19/2024,182,141,0.58,0.83,1748,708,68,95,24,23,1339,1274,6214,49.95,4839.81
1/18/2024,138,207,0.45,0.83,1680,710,68,84,25,24,1256,1339,6213,45.48,4780.94
1/17/2024,101,224,0.48,0.69,1641,692,81,84,23,25,1296,1365,6212,43.95,4739.21
1/16/2024,110,423,0.57,0.72,1740,681,66,85,28,27,1440,1239,6212,50.16,4765.98
1/12/2024,129,134,1.13,0.80,1864,617,96,60,25,23,1622,1062,6213,59.19,4783.83
1/11/2024,95,273,1.12,0.85,1879,605,125,52,37,23,1667,1005,6213,61.10,4780.24
1/10/2024,154,171,1.44,1.00,1952,555,140,49,36,22,1831,880,6211,64.14,4783.45
1/9/2024,191,197,0.90,1.12,1945,529,145,51,40,25,1809,862,6215,64.43,4756.50
1/8/2024,434,111,0.88,1.29,2063,506,149,42,36,22,1998,752,6218,70.42,4763.54
1/5/2024,156,164,0.57,1.21,1922,528,130,49,23,23,1853,899,6220,66.45,4697.24
1/4/2024,168,122,0.66,1.08,1957,511,137,53,32,26,1896,838,6220,68.17,4688.68
1/3/2024,104,572,0.74,1.23,1973,514,123,55,24,25,1949,810,6220,70.03,4704.81
1/2/2024,127,227,1.41,1.58,2278,470,315,41,52,24,2686,554,6223,75.26,4769.83
12/29/2023,127,227,2.17,1.57,2278,470,315,41,52,24,2686,554,6223,75.26,4769.83
12/28/2023,229,99,3.38,2.21,2380,446,403,42,71,25,2883,475,6224,77.67,4783.35
12/27/2023,248,98,1.90,2.91,2398,454,480,43,83,21,2923,481,6223,77.87,4781.58
12/26/2023,276,64,2.18,2.59,2379,449,468,39,77,23,2917,481,6232,78.25,4774.75
12/22/2023,335,71,1.75,2.14,2272,469,351,42,69,22,2815,547,6238,77.09,4754.63
12/21/2023,249,63,1.21,2.03,2169,503,341,36,60,17,2749,595,6239,77.04,4746.75
12/20/2023,124,354,1.74,1.92,1998,544,282,33,49,18,2615,669,6243,74.59,4698.35
12/19/2023,420,92,3.83,2.17,2178,509,307,38,56,21,2887,574,6250,78.35,4768.37
12/18/2023,109,125,2.90,1.83,1967,557,263,37,48,17,2748,655,6249,75.28,4740.56
12/15/2023,220,293,2.41,1.95,1994,565,344,30,59,16,2814,637,6251,74.17,4719.19
12/14/2023,839,118,2.94,2.50,2042,547,293,30,45,13,2968,605,6253,76.04,4719.55
12/13/2023,1157,88,2.12,2.01,1791,615,221,28,42,11,2800,665,6257,73.20,4707.09
12/12/2023,132,223,0.93,1.44,1430,712,280,29,53,10,2480,840,6257,67.79,4643.70
